,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-24-16:45,524,544,494,502,516.0,513.0,534.0,544.0
2023-06-24-17:00,494,515,493,494,499.0,494.0,504.5,515.0
2023-06-24-17:15,494,515,493,494,499.0,494.0,504.5,515.0
2023-06-24-17:30,494,515,493,494,499.0,494.0,504.5,515.0
2023-06-24-17:45,496,515,493,494,499.5,495.0,505.5,515.0
2023-06-24-18:00,492,496,503,423,478.5,494.0,499.5,503.0
2023-06-24-18:15,492,496,481,423,473.0,486.5,494.0,496.0
2023-06-24-18:30,492,515,481,423,477.75,486.5,503.5,515.0
2023-06-24-18:45,488,515,481,423,476.75,484.5,501.5,515.0
2023-06-24-19:00,494,539,493,479,501.25,493.5,516.5,539.0
2023-06-24-19:15,494,539,483,479,498.75,488.5,516.5,539.0
2023-06-24-19:30,494,539,483,479,498.75,488.5,516.5,539.0
2023-06-24-19:45,443,536,483,479,485.25,481.0,509.5,536.0
2023-06-24-20:00,464,536,456,479,483.75,471.5,507.5,536.0
2023-06-24-20:15,464,536,456,479,483.75,471.5,507.5,536.0
2023-06-24-20:30,457,492,456,449,463.5,456.5,474.5,492.0
2023-06-24-20:45,457,492,456,480,471.25,468.5,486.0,492.0
2023-06-24-21:00,447,491,404,494,459.0,469.0,492.5,494.0
2023-06-24-21:15,447,487,404,494,458.0,467.0,490.5,494.0
2023-06-24-21:30,444,487,404,494,457.25,465.5,490.5,494.0
2023-06-24-21:45,444,487,404,494,457.25,465.5,490.5,494.0
2023-06-24-22:00,407,484,395,414,425.0,410.5,449.0,484.0
2023-06-24-22:15,411,484,395,414,426.0,412.5,449.0,484.0
2023-06-24-22:30,411,478,395,414,424.5,412.5,446.0,478.0
2023-06-24-22:45,406,478,395,414,423.25,410.0,446.0,478.0
2023-06-24-23:00,398,465,345,384,398.0,391.0,431.5,465.0
2023-06-24-23:15,392,461,346,383,395.5,387.5,426.5,461.0
2023-06-24-23:30,392,481,346,383,400.5,387.5,436.5,481.0
2023-06-24-23:45,388,481,346,383,399.5,385.5,434.5,481.0
2023-06-25-00:00,366,477,329,381,388.25,373.5,429.0,477.0
2023-06-25-00:15,366,477,329,381,388.25,373.5,429.0,477.0
2023-06-25-00:30,360,450,325,381,379.0,370.5,415.5,450.0
2023-06-25-00:45,357,450,325,381,378.25,369.0,415.5,450.0
2023-06-25-01:00,357,451,322,381,377.75,369.0,416.0,451.0
2023-06-25-01:15,357,451,322,381,377.75,369.0,416.0,451.0
2023-06-25-01:30,356,451,317,373,374.25,364.5,412.0,451.0
2023-06-25-01:45,356,451,317,372,374.0,364.0,411.5,451.0
2023-06-25-02:00,352,442,308,372,368.5,362.0,407.0,442.0
2023-06-25-02:15,352,442,308,372,368.5,362.0,407.0,442.0
2023-06-25-02:30,352,442,308,372,368.5,362.0,407.0,442.0
2023-06-25-02:45,352,442,308,372,368.5,362.0,407.0,442.0
2023-06-25-03:00,348,445,308,377,369.5,362.5,411.0,445.0
2023-06-25-03:15,348,445,308,377,369.5,362.5,411.0,445.0
2023-06-25-03:30,348,445,308,377,369.5,362.5,411.0,445.0
2023-06-25-03:45,348,449,308,377,370.5,362.5,413.0,449.0
